Date,Fibra,Ticker,Dividendos
2015-05-12,Fibra Monterrey,FMTY14.MX,0.038554
2015-05-26,Fibra Monterrey,FMTY14.MX,0.184875
2015-08-12,Fibra Monterrey,FMTY14.MX,0.175279
2015-11-11,Fibra Monterrey,FMTY14.MX,0.213377
2016-01-29,Fibra Monterrey,FMTY14.MX,0.22808
2016-03-29,Fibra Monterrey,FMTY14.MX,0.231993
2016-04-22,Fibra Monterrey,FMTY14.MX,0.077938
2016-08-09,Fibra Monterrey,FMTY14.MX,0.149753
2016-09-30,Fibra Monterrey,FMTY14.MX,0.235616
2017-03-10,Fibra Monterrey,FMTY14.MX,0.25616
2017-05-23,Fibra Monterrey,FMTY14.MX,0.165733
2017-07-26,Fibra Monterrey,FMTY14.MX,0.084548
2017-10-27,Fibra Monterrey,FMTY14.MX,0.157326
2019-10-22,Fibra Monterrey,FMTY14.MX,0.018817
2020-02-21,Fibra Monterrey,FMTY14.MX,0.171599
2020-04-28,Fibra Monterrey,FMTY14.MX,0.086469
2020-05-27,Fibra Monterrey,FMTY14.MX,0.086456
2020-06-26,Fibra Monterrey,FMTY14.MX,0.08646
2020-07-29,Fibra Monterrey,FMTY14.MX,0.089434
2020-08-28,Fibra Monterrey,FMTY14.MX,0.089056
2020-10-28,Fibra Monterrey,FMTY14.MX,0.088571
2020-12-29,Fibra Monterrey,FMTY14.MX,0.088417
2021-01-27,Fibra Monterrey,FMTY14.MX,0.083158
2021-02-24,Fibra Monterrey,FMTY14.MX,0.082971
2021-03-10,Fibra Monterrey,FMTY14.MX,0.08297
2021-04-28,Fibra Monterrey,FMTY14.MX,0.068978
2021-05-27,Fibra Monterrey,FMTY14.MX,0.068978
2021-06-28,Fibra Monterrey,FMTY14.MX,0.068978
2021-07-28,Fibra Monterrey,FMTY14.MX,0.07248
2021-08-27,Fibra Monterrey,FMTY14.MX,0.07258
2021-09-28,Fibra Monterrey,FMTY14.MX,0.07258
2021-10-27,Fibra Monterrey,FMTY14.MX,0.073766
2021-11-26,Fibra Monterrey,FMTY14.MX,0.073763
2021-12-29,Fibra Monterrey,FMTY14.MX,0.073763
2022-01-27,Fibra Monterrey,FMTY14.MX,0.080957
2022-02-24,Fibra Monterrey,FMTY14.MX,0.080764
2022-03-09,Fibra Monterrey,FMTY14.MX,0.080764
2022-04-27,Fibra Monterrey,FMTY14.MX,0.081631
2022-05-27,Fibra Monterrey,FMTY14.MX,0.081632
2022-06-28,Fibra Monterrey,FMTY14.MX,0.081631
2022-07-27,Fibra Monterrey,FMTY14.MX,0.083357
2022-08-29,Fibra Monterrey,FMTY14.MX,0.083357
2022-09-08,Fibra Monterrey,FMTY14.MX,0.083357
2022-10-27,Fibra Monterrey,FMTY14.MX,0.08284
2022-11-28,Fibra Monterrey,FMTY14.MX,0.08284
2022-12-28,Fibra Monterrey,FMTY14.MX,0.082839
2023-01-27,Fibra Monterrey,FMTY14.MX,0.084648
2023-02-22,Fibra Monterrey,FMTY14.MX,0.308922
2023-03-29,Fibra Monterrey,FMTY14.MX,0.085
2023-07-27,Fibra Monterrey,FMTY14.MX,0.074415
2023-08-29,Fibra Monterrey,FMTY14.MX,0.074437
2023-09-27,Fibra Monterrey,FMTY14.MX,0.074473
2023-10-27,Fibra Monterrey,FMTY14.MX,0.078473
2023-11-28,Fibra Monterrey,FMTY14.MX,0.078536
2023-12-27,Fibra Monterrey,FMTY14.MX,0.078536
2024-01-29,Fibra Monterrey,FMTY14.MX,0.075134
2024-02-27,Fibra Monterrey,FMTY14.MX,0.075013
2024-02-29,Fibra Monterrey,FMTY14.MX,0.075013
2024-06-27,Fibra Monterrey,FMTY14.MX,0.072915
2024-07-30,Fibra Monterrey,FMTY14.MX,0.079475
2024-08-29,Fibra Monterrey,FMTY14.MX,0.080025
2024-09-27,Fibra Monterrey,FMTY14.MX,0.080082
2024-10-30,Fibra Monterrey,FMTY14.MX,0.082425
2024-11-28,Fibra Monterrey,FMTY14.MX,0.082678
2024-12-26,Fibra Monterrey,FMTY14.MX,0.08296
2025-01-30,Fibra Monterrey,FMTY14.MX,0.085773
2025-02-27,Fibra Monterrey,FMTY14.MX,0.085719
2025-03-11,Fibra Monterrey,FMTY14.MX,0.085719
2025-04-29,Fibra Monterrey,FMTY14.MX,0.089173
2025-05-29,Fibra Monterrey,FMTY14.MX,0.089078
2025-07-03,Fibra Monterrey,FMTY14.MX,0.088751
2025-07-30,Fibra Monterrey,FMTY14.MX,0.086303
2025-08-28,Fibra Monterrey,FMTY14.MX,0.086303
2025-09-25,Fibra Monterrey,FMTY14.MX,0.086112
2025-10-30,Fibra Monterrey,FMTY14.MX,0.084112
2025-11-27,Fibra Monterrey,FMTY14.MX,0.084112
2025-12-24,Fibra Monterrey,FMTY14.MX,0.084078
2026-01-29,Fibra Monterrey,FMTY14.MX,0.08163
2026-02-26,Fibra Monterrey,FMTY14.MX,0.081398
2026-03-05,Fibra Monterrey,FMTY14.MX,0.2098
2026-06-17,Fibra Monterrey,FMTY14.MX,0.127402
2011-05-23,Fibra Uno,FUNO11.MX,0.034261
2011-08-08,Fibra Uno,FUNO11.MX,0.210348
2011-11-03,Fibra Uno,FUNO11.MX,0.377947
2012-02-09,Fibra Uno,FUNO11.MX,0.36889
2012-05-04,Fibra Uno,FUNO11.MX,0.108631
2012-08-06,Fibra Uno,FUNO11.MX,0.3
2012-11-06,Fibra Uno,FUNO11.MX,0.404469
2013-01-25,Fibra Uno,FUNO11.MX,0.42161
2013-05-06,Fibra Uno,FUNO11.MX,0.24196
2013-08-06,Fibra Uno,FUNO11.MX,0.291899
2013-11-06,Fibra Uno,FUNO11.MX,0.450396
2014-02-10,Fibra Uno,FUNO11.MX,0.48
2014-05-06,Fibra Uno,FUNO11.MX,0.436677
2014-08-06,Fibra Uno,FUNO11.MX,0.40143
2014-11-04,Fibra Uno,FUNO11.MX,0.497665
2015-02-11,Fibra Uno,FUNO11.MX,0.488997
2015-05-06,Fibra Uno,FUNO11.MX,0.492164
2015-08-04,Fibra Uno,FUNO11.MX,0.493363
2015-11-04,Fibra Uno,FUNO11.MX,0.500483
2016-02-08,Fibra Uno,FUNO11.MX,0.509691
2016-05-04,Fibra Uno,FUNO11.MX,0.501977
2016-08-04,Fibra Uno,FUNO11.MX,0.480139
2016-11-04,Fibra Uno,FUNO11.MX,0.489375
2017-02-03,Fibra Uno,FUNO11.MX,0.51166
2017-05-04,Fibra Uno,FUNO11.MX,0.515357
2017-08-04,Fibra Uno,FUNO11.MX,0.511542
2017-10-02,Fibra Uno,FUNO11.MX,0.516624
2018-02-08,Fibra Uno,FUNO11.MX,0.841185
2018-05-07,Fibra Uno,FUNO11.MX,0.529703
2018-08-07,Fibra Uno,FUNO11.MX,0.540108
2018-11-07,Fibra Uno,FUNO11.MX,0.554984
2019-02-06,Fibra Uno,FUNO11.MX,0.575499
2019-05-07,Fibra Uno,FUNO11.MX,0.580551
2019-08-07,Fibra Uno,FUNO11.MX,0.583598
2019-11-06,Fibra Uno,FUNO11.MX,0.585
2020-02-07,Fibra Uno,FUNO11.MX,0.589999
2020-05-07,Fibra Uno,FUNO11.MX,0.290435
2020-08-06,Fibra Uno,FUNO11.MX,0.280974
2020-11-06,Fibra Uno,FUNO11.MX,0.300946
2021-02-05,Fibra Uno,FUNO11.MX,0.311912
2021-05-06,Fibra Uno,FUNO11.MX,0.328345
2021-08-05,Fibra Uno,FUNO11.MX,0.3311
2021-11-05,Fibra Uno,FUNO11.MX,0.37
2022-02-04,Fibra Uno,FUNO11.MX,0.682855
2022-05-05,Fibra Uno,FUNO11.MX,0.50488
2022-08-05,Fibra Uno,FUNO11.MX,0.523632
2022-11-07,Fibra Uno,FUNO11.MX,0.5659
2023-02-08,Fibra Uno,FUNO11.MX,0.951366
2023-03-13,Fibra Uno,FUNO11.MX,0.155412
2023-05-05,Fibra Uno,FUNO11.MX,0.389133
2023-08-07,Fibra Uno,FUNO11.MX,0.571313
2023-11-07,Fibra Uno,FUNO11.MX,0.582279
2024-02-07,Fibra Uno,FUNO11.MX,0.605775
2024-03-13,Fibra Uno,FUNO11.MX,0.097037
2024-05-07,Fibra Uno,FUNO11.MX,0.402963
2024-08-08,Fibra Uno,FUNO11.MX,0.519023
2024-11-08,Fibra Uno,FUNO11.MX,0.525
2025-02-07,Fibra Uno,FUNO11.MX,0.551328
